Category,Staff code,Date
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC General,JEA,13/09/2016
Academic EXC Open-minded,RME,13/09/2016
Incomplete Work,ADD,13/09/2016
Incomplete Work,ADD,13/09/2016
Incomplete Work,ADD,13/09/2016
Incomplete Work,ADD,13/09/2016
Incomplete Work,ADD,13/09/2016
Incomplete Work,ADD,13/09/2016
Academic EXC General,ARE,13/09/2016
Academic EXC General,ARE,13/09/2016
Academic EXC General,ARE,13/09/2016
Incomplete Work,CEA,13/09/2016
Academic EXC Creative,CEA,13/09/2016
Infraction,APRD,13/09/2016
Infraction,APRD,13/09/2016
Infraction,APRD,13/09/2016
Infraction,APRD,13/09/2016
Infraction,APRD,13/09/2016
Infraction,APRD,13/09/2016
Incomplete Work,APRD,13/09/2016
Infraction,ARE,13/09/2016
Incomplete Work,ARE,13/09/2016
Incomplete Work,ARE,13/09/2016
Academic EXC Motivated,PWGM,13/09/2016
Academic EXC Motivated,PWGM,13/09/2016
Academic EXC Motivated,PWGM,13/09/2016
Academic EXC Motivated,PWGM,13/09/2016
Academic EXC Motivated,PWGM,13/09/2016
Academic EXC Motivated,PWGM,13/09/2016
Incomplete Work,ARE,13/09/2016
Incomplete Work,LJA,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Infraction,SP,13/09/2016
Infraction,SP,13/09/2016
Academic EXC Curious,DRM,13/09/2016
Academic EXC Curious,DRM,13/09/2016
Academic EXC Curious,DRM,13/09/2016
Academic EXC Curious,DRM,13/09/2016
Co-Curricular EXC Curious,DRM,13/09/2016
Co-Curricular EXC Curious,DRM,13/09/2016
Academic EXC Motivated,APRD,13/09/2016
Academic EXC Motivated,APRD,13/09/2016
Infraction,AWD,13/09/2016
Infraction,AWD,13/09/2016
Infraction,AWD,13/09/2016
Academic EXC Motivated,AWD,13/09/2016
Academic EXC Creative,PSJ,13/09/2016
Academic EXC Creative,PSJ,13/09/2016
Academic EXC Creative,PSJ,13/09/2016
Academic EXC Creative,PSJ,13/09/2016
Academic EXC Independent,TMA,13/09/2016
Academic EXC Independent,TMA,13/09/2016
Academic EXC Independent,TMA,13/09/2016
Academic EXC Independent,TMA,13/09/2016
Academic EXC General,CAM,13/09/2016
Academic EXC Motivated,PMM,13/09/2016
Academic EXC Motivated,LJC,13/09/2016
Academic EXC Determined,LJC,13/09/2016
Academic EXC Motivated,PMM,13/09/2016
Academic EXC Curious,RMDJ,13/09/2016
Infraction,RMDJ,13/09/2016
Academic EXC Independent,JR,13/09/2016
Academic EXC Independent,JR,13/09/2016
Academic EXC Independent,JR,13/09/2016
Academic EXC Independent,JR,13/09/2016
Academic EXC Independent,JR,13/09/2016
Academic EXC Independent,JR,13/09/2016
Academic EXC Determined,JR,13/09/2016
Academic EXC Determined,JR,13/09/2016
Academic EXC Curious,JR,13/09/2016
Academic EXC Curious,JR,13/09/2016
