Category code,Category,Staff code,Date
EXC7MO,Academic EXC Motivated,LJA,12/09/2016
EXC7MO,Academic EXC Motivated,LJA,12/09/2016
EXC7MO,Academic EXC Motivated,LJA,12/09/2016
EXC7MO,Academic EXC Motivated,LJA,12/09/2016
EXC7MO,Academic EXC Motivated,LJA,12/09/2016
EXC7DE,Academic EXC Determined,ADD,12/09/2016
EXC7DE,Academic EXC Determined,ADD,12/09/2016
EXC7OP,Academic EXC Open-minded,JEA,12/09/2016
INCWOR,Incomplete Work,MJM,12/09/2016
EXCCUR,Academic EXC General,ADD,12/09/2016
EXCCUR,Academic EXC General,ADD,12/09/2016
EXCCUR,Academic EXC General,ADD,12/09/2016
EXC7DE,Academic EXC Determined,JHP,12/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,JEA,12/09/2016
EXC7IN,Academic EXC Independent,ARE,12/09/2016
EXCCUR,Academic EXC General,AMD,12/09/2016
EXC7DE,Academic EXC Determined,JKC,12/09/2016
EXC7MO,Academic EXC Motivated,JLP,12/09/2016
EXC7MO,Academic EXC Motivated,JLP,12/09/2016
EXC7MO,Academic EXC Motivated,PMM,12/09/2016
EXC7MO,Academic EXC Motivated,ECH,12/09/2016
EXC7MO,Academic EXC Motivated,ECH,12/09/2016
INCWOR,Incomplete Work,ECH,12/09/2016
INCWOR,Incomplete Work,ECH,12/09/2016
INF,Infraction,JEA,12/09/2016
EXC7MO,Academic EXC Motivated,AWD,12/09/2016
EXC7MO,Academic EXC Motivated,AWD,12/09/2016
EXC7DE,Academic EXC Determined,JH,12/09/2016
EXC7DE,Academic EXC Determined,JH,12/09/2016
EXC7DE,Academic EXC Determined,JH,12/09/2016
EXC7IN,Academic EXC Independent,TBB,13/09/2016
INCWOR,Incomplete Work,DJPS,13/09/2016
INCWOR,Incomplete Work,DJPS,13/09/2016
INCWOR,Incomplete Work,DJPS,13/09/2016
INCWOR,Incomplete Work,DJPS,13/09/2016
INCWOR,Incomplete Work,DJPS,13/09/2016
INCWOR,Incomplete Work,DJPS,13/09/2016
INF,Infraction,DJC,13/09/2016
EXC7MO,Academic EXC Motivated,JLP,13/09/2016
INCWOR,Incomplete Work,ARE,13/09/2016
INCWOR,Incomplete Work,ARE,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXCUAC,Random Act of Kindness - Good College Spirit EXC,SP,13/09/2016
INCWOR,Incomplete Work,SP,13/09/2016
INCWOR,Incomplete Work,SP,13/09/2016
INCWOR,Incomplete Work,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXCCUR,Academic EXC General,JEA,13/09/2016
EXC7OP,Academic EXC Open-minded,RME,13/09/2016
INCWOR,Incomplete Work,ADD,13/09/2016
INCWOR,Incomplete Work,ADD,13/09/2016
INCWOR,Incomplete Work,ADD,13/09/2016
INCWOR,Incomplete Work,ADD,13/09/2016
INCWOR,Incomplete Work,ADD,13/09/2016
INCWOR,Incomplete Work,ADD,13/09/2016
EXCCUR,Academic EXC General,ARE,13/09/2016
EXCCUR,Academic EXC General,ARE,13/09/2016
EXCCUR,Academic EXC General,ARE,13/09/2016
INCWOR,Incomplete Work,CEA,13/09/2016
EXC7CR,Academic EXC Creative,CEA,13/09/2016
INF,Infraction,APRD,13/09/2016
INF,Infraction,APRD,13/09/2016
INF,Infraction,APRD,13/09/2016
INF,Infraction,APRD,13/09/2016
INF,Infraction,APRD,13/09/2016
INF,Infraction,APRD,13/09/2016
INCWOR,Incomplete Work,APRD,13/09/2016
INF,Infraction,ARE,13/09/2016
INCWOR,Incomplete Work,ARE,13/09/2016
INCWOR,Incomplete Work,ARE,13/09/2016
EXC7MO,Academic EXC Motivated,PWGM,13/09/2016
EXC7MO,Academic EXC Motivated,PWGM,13/09/2016
